point_id,emission,lat,lon,river_name
251,1.27251,-16.942083333726316,145.77958333332492,Smiths Creek
450,0.543931,-11.275416666918147,159.7620833333242,
687,0.203311,-9.735416666880894,160.76374999999075,
688,0.496105,-9.727083333547398,124.8579166666592,
689,1.7207,-9.722083333547232,147.4579166666582,
690,7.72064,-9.717500000845405,119.11208333332604,
691,0.210539,-9.717083333547125,120.5745833333258,Luku Wera
692,2.71286,-9.710416666880237,123.68458333332616,
693,0.523692,-9.705416666880184,160.69541666665782,
694,0.695211,-9.698750000213352,124.88874999999246,Sungai Benanain
695,4.85678,-9.698750000213296,150.04958333332456,
696,0.46632,-9.691250000213133,124.9012499999924,Sungai Benanain
697,0.105232,-9.689583333546466,159.71708333332413,
698,0.682728,-9.687916666879744,123.6837499999923,
699,0.927453,-9.686250000213022,120.50458333332595,Luku Kadumbul
700,3.42968,-9.681250000212856,150.7970833333245,Salamo River
701,0.13694,-9.677916666879526,119.03208333332589,
702,0.155589,-9.677916666879526,161.5220833333242,
703,0.837986,-9.66875000021264,120.32124999999267,Luku Kambaniru
704,1.80483,-9.66875000021264,160.65791666665768,
705,0.156179,-9.667083333545918,150.76458333332448,Salamo River
706,1.46289,-9.664999999838583,120.3333333317688,Luku Palangamili
707,0.124616,-9.66291666687914,150.85458333332463,Kedidia Creek
708,2.14878,-9.66041666687903,120.30958333332605,Luku Kambaniru
709,0.281305,-9.66041666687903,161.4729166666575,
710,1.18766,-9.657916666879032,147.40458333332492,
711,0.135217,-9.65541667014105,119.0158333333261,
712,0.286629,-9.652916670141508,161.5041666666575,
713,0.277383,-9.650416666878812,161.4312499999911,
714,1.04917,-9.649583333545536,150.01124999999126,
715,0.527872,-9.648750000212146,123.67208333332589,
716,0.172876,-9.647083333545424,120.38874999999268,Luku Yumbu
717,3.22842,-9.642916670142483,120.26333333332605,
718,0.302895,-9.642083333545258,149.90124999999125,
719,1.13145,-9.642083333545258,160.66124999999113,
720,0.430675,-9.641250000211985,120.25208333332604,Luku Temu
721,8.22304,-9.637916666878482,149.86791666665795,
722,0.224269,-9.634583333545097,161.4829166666575,
723,2.65187,-9.629583333544929,119.00458333332584,
724,0.608838,-9.6299999998335,161.4708333317675,
725,29.9522,-9.622916666878211,124.98624999999254,Sungai Benanain
726,0.521118,-9.622916666878211,160.6462499999909,
727,0.208869,-9.617916666878044,161.40791666665746,
728,0.518974,-9.617083333544713,159.66958333332434,
729,0.524949,-9.617083333544713,161.54624999999078,
730,1.85705,-9.612083333544549,124.98624999999232,
731,1.5961,-9.612083333544549,149.45458333332454,
732,1.35175,-9.611250000211156,149.66708333332463,
733,0.306195,-9.611250000211273,149.69208333332483,
734,0.767139,-9.610416666877882,149.59291666665786,
735,4.14252,-9.610416666877882,160.6370833333242,
736,3.23242,-9.60958333681276,118.98583333332613,
737,1.35686,-9.609583333544547,149.66624999999135,
738,2.13439,-9.603750000211107,160.63541666665742,
739,4.06698,-9.597916666877666,149.54208333332463,
740,0.435625,-9.59708333354422,118.97208333332584,
741,0.268287,-9.596250000210771,149.48791666665807,
742,0.494248,-9.58958333681477,150.87166666665803,Asapoi River
743,0.297882,-9.587916666877334,159.65458333332435,
744,4.06588,-9.587916666877334,160.61541666665744,
745,0.583452,-9.582083333543892,147.36291666665807,
746,0.110645,-9.58041666687717,161.41041666665762,
747,0.980017,-9.570416666876838,123.73374999999236,
748,1.24431,-9.569583333543562,160.5987499999908,
749,0.959371,-9.56708333681729,161.41083333332426,
750,2.25361,-9.565416666876786,149.41708333332474,
751,0.135983,-9.5620833335434,150.50208333332455,
752,0.552787,-9.557916666876622,159.63458333332449,
753,2.96164,-9.553333333156049,149.41000000154793,
754,2.0228,-9.55208333354318,124.97874999999226,
755,0.122791,-9.54916666749591,160.56791666665754,
801,0.378512,-9.445416666873824,150.18624999999133,Goiala Creek
802,0.641392,-9.443750000207215,120.06124999999248,Luku Rambangaru
803,0.886016,-9.44125000020722,161.33791666665752,
804,0.97251,-9.436250000207052,123.8970833333259,
805,14.3845,-9.434583333540331,159.96624999999108,
806,0.691536,-9.432083333540165,150.67041666665796,Buani River
807,0.443611,-9.432083333540165,160.1120833333241,Tenaru River
808,0.257039,-9.431250000206887,125.11708333332592,
809,0.655213,-9.430416666873612,159.99208333332444,Mataniko River
810,3.5827,-9.430416666873612,160.3879166666577,
811,2.52679,-9.429166667484369,160.08374999999114,Block Four River
812,0.568234,-9.42875000020689,161.4054166666574,
813,2.30903,-9.427916666873555,159.9454166666576,Rove Creek
814,1.22292,-9.42708333354011,150.65791666665802,Buani River
815,0.508827,-9.42708333354011,160.0787499999908,Tenaru River
816,1.57738,-9.426250000206837,147.08291666665832,
817,0.242652,-9.426250000206837,159.9070833333244,Hove Creek
818,1.10469,-9.422916666873448,150.72708333332469,Daguala Creek
819,2.34769,-9.423333334150584,159.92291666665756,Tautu River
820,1.62793,-9.422500000817138,160.3204166666576,
821,0.974397,-9.421250000206667,147.11458333332462,Puma Energy Royal Papua New Guinea Yacht Club
822,1.52051,-9.421250000206667,149.1912499999912,
823,0.212802,-9.417916666873282,159.90041666665752,Poha River
824,0.640499,-9.41625000020656,125.14791666665906,Linha de água
825,4.54164,-9.415416666873284,160.19708333332414,
826,3.9298,-9.415416666873284,160.2729166666575,
827,4.21813,-9.415416666873227,160.2770833333243,
828,0.601858,-9.413750000206504,125.15874999999257,Linha de água
829,1.32152,-9.411250000206394,119.1137499999926,
830,0.169099,-9.411250000206394,125.17791666665936,Linha de água
831,0.286861,-9.410833334149345,159.89624999999114,Poha River
832,7.70001,-9.40791667163876,160.03624999999113,Lungga River
833,3.93584,-9.407083333539674,160.15208333332407,Ngalibiu River
834,0.372815,-9.402083333539622,119.12708333332604,
835,0.196599,-9.39958333353951,119.78958333332616,Anak Sungai
836,0.232698,-9.39958333353951,150.37624999999127,Ufaifa Creek
837,1.79463,-9.398750000206064,123.94124999999246,
838,3.60833,-9.397083333539513,120.03208333332624,Luku Kadahang
839,0.218217,-9.39625000020618,161.3920833333243,
840,3.56281,-9.391666666467302,119.21833333488088,
841,0.263236,-9.38708333353918,149.18041666665818,
842,0.221245,-9.38708333353918,150.62291666665828,Bunai River
843,0.868133,-9.386250000205736,119.23041666665928,KALI MATA
844,3.14299,-9.386250000205736,119.75958333332608,Anak Sungai Lenang
845,1.25907,-9.38541666687246,119.70541666665918,Sungai Ngadu Bolu
846,0.110755,-9.38541666687246,120.01124999999251,Luku Lindi
847,0.447562,-9.382083333539017,119.81958333332592,Anak Sungai Lenang
848,0.150546,-9.377916666872297,119.6762499999926,Sungai Watu Asa
